Method,Metric,Seed,Split,Task,Metric Name
JS-min,0.03826530612244898,3,metabolic_disorder,indication,Recall@100
JS-min,0.5363471516544281,3,metabolic_disorder,indication,Avg Rank
JS-min,0.0007142857142857143,3,metabolic_disorder,indication,Precision@100
JS-min,0.0,3,metabolic_disorder,indication,Precision@10
JS-min,0.0,3,metabolic_disorder,indication,Precision@K
HGT,0.5,3,metabolic_disorder,indication,AUPRC
HGT,0.5,3,metabolic_disorder,indication,AUROC
HGT,0.0,3,metabolic_disorder,indication,Recall@100
HGT,0.41172353697039954,3,metabolic_disorder,indication,Avg Rank
HGT,0.0,3,metabolic_disorder,indication,Precision@100
HGT,0.0,3,metabolic_disorder,indication,Precision@10
HGT,0.0,3,metabolic_disorder,indication,Precision@K
HAN,0.6261277040955366,3,metabolic_disorder,indication,AUPRC
HAN,0.6769031141868512,3,metabolic_disorder,indication,AUROC
HAN,0.024999999999999998,3,metabolic_disorder,indication,Recall@100
HAN,0.6303379602437934,3,metabolic_disorder,indication,Avg Rank
HAN,0.0014285714285714286,3,metabolic_disorder,indication,Precision@100
HAN,0.0,3,metabolic_disorder,indication,Precision@10
HAN,0.0,3,metabolic_disorder,indication,Precision@K
RGCN,0.6602047032986347,3,metabolic_disorder,indication,AUPRC
RGCN,0.6866349480968859,3,metabolic_disorder,indication,AUROC
RGCN,0.25,3,metabolic_disorder,indication,Recall@100
RGCN,0.7282204562106356,3,metabolic_disorder,indication,Avg Rank
RGCN,0.0028571428571428567,3,metabolic_disorder,indication,Precision@100
RGCN,0.0035714285714285718,3,metabolic_disorder,indication,Precision@10
RGCN,0.0,3,metabolic_disorder,indication,Precision@K
BioBERT,0.6856596578435712,3,metabolic_disorder,indication,AUPRC
BioBERT,0.6963667820069204,3,metabolic_disorder,indication,AUROC
BioBERT,0.017857142857142856,3,metabolic_disorder,indication,Recall@100
BioBERT,0.6184863753217763,3,metabolic_disorder,indication,Avg Rank
BioBERT,0.00035714285714285714,3,metabolic_disorder,indication,Precision@100
BioBERT,0.0,3,metabolic_disorder,indication,Precision@10
BioBERT,0.0,3,metabolic_disorder,indication,Precision@K
TxGNN,0.764892416942232,3,metabolic_disorder,indication,AUPRC
TxGNN,0.7962802768166088,3,metabolic_disorder,indication,AUROC
TxGNN,0.2215986394557823,3,metabolic_disorder,indication,Recall@100
TxGNN,0.6289988962783807,3,metabolic_disorder,indication,Avg Rank
TxGNN,0.004285714285714286,3,metabolic_disorder,indication,Precision@100
TxGNN,0.0071428571428571435,3,metabolic_disorder,indication,Precision@10
TxGNN,0.0,3,metabolic_disorder,indication,Precision@K
Proximity,0.40712417852713034,3,metabolic_disorder,indication,AUPRC
Proximity,0.33358564013840825,3,metabolic_disorder,indication,AUROC
Proximity,0.0,3,metabolic_disorder,indication,Recall@100
Proximity,0.26837916642087273,3,metabolic_disorder,indication,Avg Rank
Proximity,0.0,3,metabolic_disorder,indication,Precision@100
Proximity,0.0,3,metabolic_disorder,indication,Precision@10
Proximity,0.0,3,metabolic_disorder,indication,Precision@K
DSD-min,0.581254483883269,4,metabolic_disorder,indication,AUPRC
DSD-min,0.5538494809688581,4,metabolic_disorder,indication,AUROC
DSD-min,0.05612244897959184,4,metabolic_disorder,indication,Recall@100
DSD-min,0.5359121818892192,4,metabolic_disorder,indication,Avg Rank
DSD-min,0.0010714285714285715,4,metabolic_disorder,indication,Precision@100
DSD-min,0.0035714285714285718,4,metabolic_disorder,indication,Precision@10
DSD-min,0.03571428571428571,4,metabolic_disorder,indication,Precision@K
KL-min,0.5253337322178905,4,metabolic_disorder,indication,AUPRC
KL-min,0.4887543252595156,4,metabolic_disorder,indication,AUROC
KL-min,0.004931972789115647,4,metabolic_disorder,indication,Recall@100
KL-min,0.4745959788967742,4,metabolic_disorder,indication,Avg Rank
KL-min,0.0007142857142857143,4,metabolic_disorder,indication,Precision@100
KL-min,0.0,4,metabolic_disorder,indication,Precision@10
KL-min,0.0023809523809523807,4,metabolic_disorder,indication,Precision@K
JS-min,0.5424690983709364,4,metabolic_disorder,indication,AUPRC
JS-min,0.4945934256055363,4,metabolic_disorder,indication,AUROC
JS-min,0.0,4,metabolic_disorder,indication,Recall@100
JS-min,0.5100738749691155,4,metabolic_disorder,indication,Avg Rank
JS-min,0.0,4,metabolic_disorder,indication,Precision@100
JS-min,0.0,4,metabolic_disorder,indication,Precision@10
JS-min,0.0,4,metabolic_disorder,indication,Precision@K
HGT,0.5732817498033167,4,metabolic_disorder,indication,AUPRC
HGT,0.5629325259515571,4,metabolic_disorder,indication,AUROC
HGT,0.08333333333333333,4,metabolic_disorder,indication,Recall@100
HGT,0.42273264716217007,4,metabolic_disorder,indication,Avg Rank
HGT,0.0017857142857142859,4,metabolic_disorder,indication,Precision@100
HGT,0.0,4,metabolic_disorder,indication,Precision@10
HGT,0.0,4,metabolic_disorder,indication,Precision@K
HAN,0.6336396901507242,4,metabolic_disorder,indication,AUPRC
HAN,0.7063148788927336,4,metabolic_disorder,indication,AUROC
HAN,0.1476190476190476,4,metabolic_disorder,indication,Recall@100
HAN,0.5156663708590135,4,metabolic_disorder,indication,Avg Rank
HAN,0.0032142857142857142,4,metabolic_disorder,indication,Precision@100
HAN,0.0,4,metabolic_disorder,indication,Precision@10
HAN,0.0,4,metabolic_disorder,indication,Precision@K
RGCN,0.6622485851403919,4,metabolic_disorder,indication,AUPRC
RGCN,0.6890138408304498,4,metabolic_disorder,indication,AUROC
RGCN,0.25,4,metabolic_disorder,indication,Recall@100
RGCN,0.7298483814790212,4,metabolic_disorder,indication,Avg Rank
RGCN,0.0028571428571428567,4,metabolic_disorder,indication,Precision@100
RGCN,0.0035714285714285718,4,metabolic_disorder,indication,Precision@10
RGCN,0.0,4,metabolic_disorder,indication,Precision@K
BioBERT,0.6856596578435712,4,metabolic_disorder,indication,AUPRC
BioBERT,0.6963667820069204,4,metabolic_disorder,indication,AUROC
BioBERT,0.017857142857142856,4,metabolic_disorder,indication,Recall@100
BioBERT,0.6184863753217763,4,metabolic_disorder,indication,Avg Rank
BioBERT,0.00035714285714285714,4,metabolic_disorder,indication,Precision@100
BioBERT,0.0,4,metabolic_disorder,indication,Precision@10
BioBERT,0.0,4,metabolic_disorder,indication,Precision@K
TxGNN,0.7615393885126452,4,metabolic_disorder,indication,AUPRC
TxGNN,0.798659169550173,4,metabolic_disorder,indication,AUROC
TxGNN,0.23945578231292514,4,metabolic_disorder,indication,Recall@100
TxGNN,0.6244855853614538,4,metabolic_disorder,indication,Avg Rank
TxGNN,0.004642857142857143,4,metabolic_disorder,indication,Precision@100
TxGNN,0.0035714285714285718,4,metabolic_disorder,indication,Precision@10
TxGNN,0.0,4,metabolic_disorder,indication,Precision@K
Proximity,0.4100956832866204,4,metabolic_disorder,indication,AUPRC
Proximity,0.34504757785467133,4,metabolic_disorder,indication,AUROC
Proximity,0.0,4,metabolic_disorder,indication,Recall@100
Proximity,0.2677461936138034,4,metabolic_disorder,indication,Avg Rank
Proximity,0.0,4,metabolic_disorder,indication,Precision@100
Proximity,0.0,4,metabolic_disorder,indication,Precision@10
Proximity,0.0,4,metabolic_disorder,indication,Precision@K
DSD-min,0.49520850321691134,5,metabolic_disorder,indication,AUPRC
DSD-min,0.4801038062283737,5,metabolic_disorder,indication,AUROC
DSD-min,0.017857142857142856,5,metabolic_disorder,indication,Recall@100
DSD-min,0.4596012025521533,5,metabolic_disorder,indication,Avg Rank
DSD-min,0.00035714285714285714,5,metabolic_disorder,indication,Precision@100
DSD-min,0.0035714285714285718,5,metabolic_disorder,indication,Precision@10
DSD-min,0.0,5,metabolic_disorder,indication,Precision@K
KL-min,0.49551979882344077,5,metabolic_disorder,indication,AUPRC
KL-min,0.5147058823529411,5,metabolic_disorder,indication,AUROC
KL-min,0.0,5,metabolic_disorder,indication,Recall@100
KL-min,0.46984501730816747,5,metabolic_disorder,indication,Avg Rank
KL-min,0.0,5,metabolic_disorder,indication,Precision@100
KL-min,0.0,5,metabolic_disorder,indication,Precision@10
KL-min,0.0,5,metabolic_disorder,indication,Precision@K
JS-min,0.5977638878685378,5,metabolic_disorder,indication,AUPRC
JS-min,0.5627162629757785,5,metabolic_disorder,indication,AUROC
JS-min,0.002551020408163265,5,metabolic_disorder,indication,Recall@100
JS-min,0.5913028916480504,5,metabolic_disorder,indication,Avg Rank
JS-min,0.00035714285714285714,5,metabolic_disorder,indication,Precision@100
JS-min,0.0,5,metabolic_disorder,indication,Precision@10
JS-min,0.0,5,metabolic_disorder,indication,Precision@K
HGT,0.48932565265461325,5,metabolic_disorder,indication,AUPRC
HGT,0.4505839100346021,5,metabolic_disorder,indication,AUROC
HGT,0.028571428571428574,5,metabolic_disorder,indication,Recall@100
HGT,0.5640216674831301,5,metabolic_disorder,indication,Avg Rank
HGT,0.0014285714285714286,5,metabolic_disorder,indication,Precision@100
HGT,0.0,5,metabolic_disorder,indication,Precision@10
HGT,0.0,5,metabolic_disorder,indication,Precision@K
HAN,0.6145770989918111,5,metabolic_disorder,indication,AUPRC
HAN,0.7019896193771626,5,metabolic_disorder,indication,AUROC
HAN,0.0023809523809523807,5,metabolic_disorder,indication,Recall@100
HAN,0.4878760754018838,5,metabolic_disorder,indication,Avg Rank
HAN,0.00035714285714285714,5,metabolic_disorder,indication,Precision@100
HAN,0.0,5,metabolic_disorder,indication,Precision@10
HAN,0.0,5,metabolic_disorder,indication,Precision@K
RGCN,0.6936754617102667,5,metabolic_disorder,indication,AUPRC
RGCN,0.7195069204152249,5,metabolic_disorder,indication,AUROC
RGCN,0.17857142857142858,5,metabolic_disorder,indication,Recall@100
RGCN,0.7307165042716848,5,metabolic_disorder,indication,Avg Rank
RGCN,0.002142857142857143,5,metabolic_disorder,indication,Precision@100
RGCN,0.0035714285714285718,5,metabolic_disorder,indication,Precision@10
RGCN,0.0,5,metabolic_disorder,indication,Precision@K
BioBERT,0.6856596578435712,5,metabolic_disorder,indication,AUPRC
BioBERT,0.6963667820069204,5,metabolic_disorder,indication,AUROC
BioBERT,0.017857142857142856,5,metabolic_disorder,indication,Recall@100
BioBERT,0.6184863753217763,5,metabolic_disorder,indication,Avg Rank
BioBERT,0.00035714285714285714,5,metabolic_disorder,indication,Precision@100
BioBERT,0.0,5,metabolic_disorder,indication,Precision@10
BioBERT,0.0,5,metabolic_disorder,indication,Precision@K
TxGNN,0.7668277024932486,5,metabolic_disorder,indication,AUPRC
TxGNN,0.8032006920415226,5,metabolic_disorder,indication,AUROC
TxGNN,0.2215986394557823,5,metabolic_disorder,indication,Recall@100
TxGNN,0.626028807903707,5,metabolic_disorder,indication,Avg Rank
TxGNN,0.004285714285714286,5,metabolic_disorder,indication,Precision@100
TxGNN,0.0035714285714285718,5,metabolic_disorder,indication,Precision@10
TxGNN,0.0,5,metabolic_disorder,indication,Precision@K
Proximity,0.41609251913475476,5,metabolic_disorder,indication,AUPRC
Proximity,0.33423442906574397,5,metabolic_disorder,indication,AUROC
Proximity,0.0,5,metabolic_disorder,indication,Recall@100
Proximity,0.2757136573367565,5,metabolic_disorder,indication,Avg Rank
Proximity,0.0,5,metabolic_disorder,indication,Precision@100
Proximity,0.0,5,metabolic_disorder,indication,Precision@10
Proximity,0.0,5,metabolic_disorder,indication,Precision@K
DSD-min,0.5134698934872419,1,diabetes,indication,AUPRC
DSD-min,0.48346789696270664,1,diabetes,indication,AUROC
DSD-min,0.0,1,diabetes,indication,Recall@100
DSD-min,0.5207327322363092,1,diabetes,indication,Avg Rank
DSD-min,0.0,1,diabetes,indication,Precision@100
DSD-min,0.0,1,diabetes,indication,Precision@10
DSD-min,0.0,1,diabetes,indication,Precision@K
KL-min,0.4683250298155687,1,diabetes,indication,AUPRC
KL-min,0.4588619761630142,1,diabetes,indication,AUROC
KL-min,0.009433962264150943,1,diabetes,indication,Recall@100
KL-min,0.5044657631999567,1,diabetes,indication,Avg Rank
KL-min,0.005,1,diabetes,indication,Precision@100
KL-min,0.0,1,diabetes,indication,Precision@10
KL-min,0.0,1,diabetes,indication,Precision@K
JS-min,0.5703999959051642,1,diabetes,indication,AUPRC
JS-min,0.5227797001153401,1,diabetes,indication,AUROC
JS-min,0.05025028879476318,1,diabetes,indication,Recall@100
JS-min,0.51782850050442,1,diabetes,indication,Avg Rank
JS-min,0.025,1,diabetes,indication,Precision@100
JS-min,0.0,1,diabetes,indication,Precision@10
JS-min,0.02040816326530612,1,diabetes,indication,Precision@K
HGT,0.4333696938754592,1,diabetes,indication,AUPRC
HGT,0.3876393694732795,1,diabetes,indication,AUROC
HGT,0.0,1,diabetes,indication,Recall@100
HGT,0.24741860720471492,1,diabetes,indication,Avg Rank
HGT,0.0,1,diabetes,indication,Precision@100
HGT,0.0,1,diabetes,indication,Precision@10
HGT,0.0,1,diabetes,indication,Precision@K
HAN,0.6733986274389837,1,diabetes,indication,AUPRC
HAN,0.801999231064975,1,diabetes,indication,AUROC
HAN,0.0,1,diabetes,indication,Recall@100
HAN,0.5777390352234519,1,diabetes,indication,Avg Rank
HAN,0.0,1,diabetes,indication,Precision@100
HAN,0.0,1,diabetes,indication,Precision@10
HAN,0.0,1,diabetes,indication,Precision@K
RGCN,0.40222086548030356,1,diabetes,indication,AUPRC
RGCN,0.3715878508266051,1,diabetes,indication,AUROC
RGCN,0.0,1,diabetes,indication,Recall@100
RGCN,0.2984395960788274,1,diabetes,indication,Avg Rank
RGCN,0.0,1,diabetes,indication,Precision@100
RGCN,0.0,1,diabetes,indication,Precision@10
RGCN,0.0,1,diabetes,indication,Precision@K
BioBERT,0.6930155749410147,1,diabetes,indication,AUPRC
BioBERT,0.7726835832372164,1,diabetes,indication,AUROC
BioBERT,0.018867924528301886,1,diabetes,indication,Recall@100
BioBERT,0.7941003794509853,1,diabetes,indication,Avg Rank
BioBERT,0.01,1,diabetes,indication,Precision@100
BioBERT,0.0,1,diabetes,indication,Precision@10
BioBERT,0.0,1,diabetes,indication,Precision@K
TxGNN,0.8781629550732482,1,diabetes,indication,AUPRC
TxGNN,0.8742791234140717,1,diabetes,indication,AUROC
TxGNN,0.23565652676164806,1,diabetes,indication,Recall@100
TxGNN,0.8147534333198043,1,diabetes,indication,Avg Rank
TxGNN,0.12,1,diabetes,indication,Precision@100
TxGNN,0.6499999999999999,1,diabetes,indication,Precision@10
TxGNN,0.23565652676164806,1,diabetes,indication,Precision@K
Proximity,0.45568630611459326,1,diabetes,indication,AUPRC
Proximity,0.4304113802383699,1,diabetes,indication,AUROC
Proximity,0.019638043896804003,1,diabetes,indication,Recall@100
Proximity,0.4479752766228218,1,diabetes,indication,Avg Rank
Proximity,0.01,1,diabetes,indication,Precision@100
Proximity,0.05,1,diabetes,indication,Precision@10
Proximity,0.01020408163265306,1,diabetes,indication,Precision@K
DSD-min,0.5422044626203377,2,diabetes,indication,AUPRC
DSD-min,0.5341214917339485,2,diabetes,indication,AUROC
DSD-min,0.009433962264150943,2,diabetes,indication,Recall@100
DSD-min,0.49847515010044596,2,diabetes,indication,Avg Rank
DSD-min,0.005,2,diabetes,indication,Precision@100
DSD-min,0.0,2,diabetes,indication,Precision@10
DSD-min,0.009433962264150943,2,diabetes,indication,Precision@K
KL-min,0.4962690392068234,2,diabetes,indication,AUPRC
KL-min,0.4963475586312957,2,diabetes,indication,AUROC
KL-min,0.018867924528301886,2,diabetes,indication,Recall@100
KL-min,0.5195396859970629,2,diabetes,indication,Avg Rank
KL-min,0.01,2,diabetes,indication,Precision@100
KL-min,0.0,2,diabetes,indication,Precision@10
KL-min,0.009433962264150943,2,diabetes,indication,Precision@K
JS-min,0.47962199110793824,2,diabetes,indication,AUPRC
JS-min,0.4677047289504037,2,diabetes,indication,AUROC
JS-min,0.01020408163265306,2,diabetes,indication,Recall@100
JS-min,0.4418108374097218,2,diabetes,indication,Avg Rank
JS-min,0.005,2,diabetes,indication,Precision@100
JS-min,0.0,2,diabetes,indication,Precision@10
JS-min,0.0,2,diabetes,indication,Precision@K
HGT,0.5,2,diabetes,indication,AUPRC
HGT,0.5,2,diabetes,indication,AUROC
HGT,0.0,2,diabetes,indication,Recall@100
HGT,0.500772950333882,2,diabetes,indication,Avg Rank
HGT,0.0,2,diabetes,indication,Precision@100
HGT,0.0,2,diabetes,indication,Precision@10
HGT,0.0,2,diabetes,indication,Precision@K
HAN,0.643609315545166,2,diabetes,indication,AUPRC
HAN,0.7811418685121108,2,diabetes,indication,AUROC
HAN,0.0,2,diabetes,indication,Recall@100
HAN,0.5935770767103059,2,diabetes,indication,Avg Rank
HAN,0.0,2,diabetes,indication,Precision@100
HAN,0.0,2,diabetes,indication,Precision@10
HAN,0.0,2,diabetes,indication,Precision@K
RGCN,0.4030696439269539,2,diabetes,indication,AUPRC
RGCN,0.37206843521722416,2,diabetes,indication,AUROC
RGCN,0.0,2,diabetes,indication,Recall@100
RGCN,0.3003130902532572,2,diabetes,indication,Avg Rank
RGCN,0.0,2,diabetes,indication,Precision@100
RGCN,0.0,2,diabetes,indication,Precision@10
RGCN,0.0,2,diabetes,indication,Precision@K
BioBERT,0.6930155749410147,2,diabetes,indication,AUPRC
BioBERT,0.7726835832372164,2,diabetes,indication,AUROC
BioBERT,0.018867924528301886,2,diabetes,indication,Recall@100
BioBERT,0.7941003794509853,2,diabetes,indication,Avg Rank
BioBERT,0.01,2,diabetes,indication,Precision@100
BioBERT,0.0,2,diabetes,indication,Precision@10
BioBERT,0.0,2,diabetes,indication,Precision@K
TxGNN,0.8761029125287447,2,diabetes,indication,AUPRC
TxGNN,0.8754325259515571,2,diabetes,indication,AUROC
TxGNN,0.23565652676164806,2,diabetes,indication,Recall@100
TxGNN,0.8151858693306713,2,diabetes,indication,Avg Rank
TxGNN,0.12,2,diabetes,indication,Precision@100
TxGNN,0.6,2,diabetes,indication,Precision@10
TxGNN,0.23565652676164806,2,diabetes,indication,Precision@K
Proximity,0.48051077539908327,2,diabetes,indication,AUPRC
Proximity,0.4563629373317955,2,diabetes,indication,AUROC
Proximity,0.019638043896804003,2,diabetes,indication,Recall@100
Proximity,0.5091607620068379,2,diabetes,indication,Avg Rank
Proximity,0.01,2,diabetes,indication,Precision@100
Proximity,0.0,2,diabetes,indication,Precision@10
Proximity,0.01020408163265306,2,diabetes,indication,Precision@K
DSD-min,0.5399499024798181,3,diabetes,indication,AUPRC
DSD-min,0.503364090734333,3,diabetes,indication,AUROC
DSD-min,0.029842125529457066,3,diabetes,indication,Recall@100
DSD-min,0.5115146008370269,3,diabetes,indication,Avg Rank
DSD-min,0.015,3,diabetes,indication,Precision@100
DSD-min,0.0,3,diabetes,indication,Precision@10
DSD-min,0.0,3,diabetes,indication,Precision@K
KL-min,0.5436367072780495,3,diabetes,indication,AUPRC
KL-min,0.5351787773933103,3,diabetes,indication,AUROC
KL-min,0.019638043896804003,3,diabetes,indication,Recall@100
KL-min,0.49285142527492665,3,diabetes,indication,Avg Rank
KL-min,0.01,3,diabetes,indication,Precision@100
KL-min,0.0,3,diabetes,indication,Precision@10
KL-min,0.009433962264150943,3,diabetes,indication,Precision@K
JS-min,0.4968762360760437,3,diabetes,indication,AUPRC
JS-min,0.5226835832372164,3,diabetes,indication,AUROC
JS-min,0.0,3,diabetes,indication,Recall@100
JS-min,0.5271718960726961,3,diabetes,indication,Avg Rank
JS-min,0.0,3,diabetes,indication,Precision@100
